status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	_ZN13CPacketTracer6AddLogEii	0x8057400	0xdf	0x8052f36	0xe9	_ZN13CPacketTracer6AddLogEii.md
DIFF	_ZN13CServerConfig11Parse_TableEPci	0x80539b4	0xd7	0x8053f38	0xde	_ZN13CServerConfig11Parse_TableEPci.md
DIFF	_ZN14CFileLogWriter11writeRawLogEPKcS1_z	0x8054d20	0x3ef	0x804eea2	0x3f9	_ZN14CFileLogWriter11writeRawLogEPKcS1_z.md
DIFF	_ZN14CFileLogWriter8writeLogEPKcS1_z	0x8054922	0x3fd	0x804ea9a	0x407	_ZN14CFileLogWriter8writeLogEPKcS1_z.md
NEAR	_ZN14CKillUSRConfig11Parse_TableEPci	0x8052c52	0xeb	0x8050a8e	0xeb	_ZN14CKillUSRConfig11Parse_TableEPci.md
DIFF	_ZN14CNetworkThread8dispatchEPv	0x8059544	0x7b6	0x80518f4	0x7da	_ZN14CNetworkThread8dispatchEPv.md
DIFF	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	0x8056d8e	0x11f	0x8052914	0x120	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader.md
DIFF	_ZN14CServerHandler14ResetHeartBeatEhh	0x80567ea	0xd7	0x805466e	0xd0	_ZN14CServerHandler14ResetHeartBeatEhh.md
DIFF	_ZN14CServerHandler21IsConnectedGameServerEhh	0x80568d8	0xdc	0x8054754	0xda	_ZN14CServerHandler21IsConnectedGameServerEhh.md
NEAR	_ZN14CServerHandler4LoadEP13ST_ServerInfo	0x805644c	0x2b5	0x80542b0	0x2b5	_ZN14CServerHandler4LoadEP13ST_ServerInfo.md
DIFF	_ZN14CServerHandler7ProcessEv	0x8056702	0xe8	0x8054566	0x107	_ZN14CServerHandler7ProcessEv.md
DIFF	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	0x8057ca4	0x30f	0x8053716	0x310	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader.md
DIFF	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	0x8057fb4	0x3c0	0x8053a26	0x3c1	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader.md
DIFF	_ZN17CPacketTranslater7OnLoginEP12PacketHeader	0x8057692	0x358	0x8053140	0x325	_ZN17CPacketTranslater7OnLoginEP12PacketHeader.md
DIFF	_ZN17CPacketTranslater8OnLogoutEP12PacketHeader	0x80579ea	0x2b9	0x8053466	0x2b0	_ZN17CPacketTranslater8OnLogoutEP12PacketHeader.md
DIFF	_ZN18CFrameCountHandler11SaveProcessEi	0x804c96e	0x87	0x80569a0	0x7d	_ZN18CFrameCountHandler11SaveProcessEi.md
DIFF	_ZN18CFrameCountHandler11SaveProcessEv	0x804c8ee	0x80	0x805692a	0x76	_ZN18CFrameCountHandler11SaveProcessEv.md
DIFF	_ZN18CFrameCountHandler17GetFrameCountInfoEv	0x804c572	0x37c	0x80565b0	0x37a	_ZN18CFrameCountHandler17GetFrameCountInfoEv.md
DIFF	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	0x804c436	0x13c	0x8056472	0x13d	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt.md
DIFF	_ZN20CDNFUserInOutCounter10IncUserOutEii	0x804de54	0x4f	0x8058aec	0x56	_ZN20CDNFUserInOutCounter10IncUserOutEii.md
DIFF	_ZN20CDNFUserInOutCounter12ProcessWriteEv	0x804ddc0	0x4e	0x8058a52	0x4d	_ZN20CDNFUserInOutCounter12ProcessWriteEv.md
DIFF	_ZN20CDNFUserInOutCounter8WriteLogEv	0x804dc5a	0x165	0x80588d4	0x17d	_ZN20CDNFUserInOutCounter8WriteLogEv.md
DIFF	_ZN20CDNFUserInOutCounter9IncUserInEii	0x804de0e	0x45	0x8058aa0	0x4c	_ZN20CDNFUserInOutCounter9IncUserInEii.md
