id	status	mangled	demangled	file	line	report
DNF-MON-DIFF-0059	DIFF	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	CPacketTranslater::OnReplyUserInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	576	function_reports/monitor/_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader.md
DNF-MON-DIFF-0060	DIFF	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	CPacketTranslater::OnCallMemberList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1535	function_reports/monitor/_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader.md
DNF-MON-DIFF-0061	DIFF	_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader	CPacketTranslater::OnChangeCharName(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3497	function_reports/monitor/_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader.md
DNF-MON-DIFF-0062	DIFF	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	CPacketTranslater::OnLogoutComplete(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1799	function_reports/monitor/_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader.md
DNF-MON-NEAR-0008	NEAR	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	CPacketTranslater::OnPvPChannelInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3564	function_reports/monitor/_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader.md
DNF-MON-DIFF-0063	DIFF	_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader	CPacketTranslater::OnTakeScreenShot(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4174	function_reports/monitor/_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader.md
DNF-MON-DIFF-0064	DIFF	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	CPacketTranslater::OnAddBuddyDBReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2859	function_reports/monitor/_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader.md
DNF-MON-DIFF-0065	DIFF	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	CPacketTranslater::OnCharacterDelete(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1880	function_reports/monitor/_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader.md
DNF-MON-DIFF-0066	DIFF	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	CPacketTranslater::OnDelBuddyDBReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2971	function_reports/monitor/_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader.md
DNF-MON-DIFF-0067	DIFF	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	CPacketTranslater::OnEventItemUpdate(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1014	function_reports/monitor/_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader.md
DNF-MON-DIFF-0068	DIFF	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	CPacketTranslater::OnGameServerRegist(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4358	function_reports/monitor/_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader.md
DNF-MON-DIFF-0069	DIFF	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	CPacketTranslater::OnInnerPacketLogin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3293	function_reports/monitor/_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader.md
DNF-MON-DIFF-0070	DIFF	_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader	CPacketTranslater::OnMemberEnterReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1238	function_reports/monitor/_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader.md
DNF-MON-DIFF-0071	DIFF	_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader	CPacketTranslater::OnSetCleanPadPoint(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4067	function_reports/monitor/_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader.md
DNF-MON-DIFF-0072	DIFF	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	CPacketTranslater::OnDeleteToBlackList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2342	function_reports/monitor/_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader.md
DNF-MON-DIFF-0073	DIFF	_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader	CPacketTranslater::OnInnerPacketLogout(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3363	function_reports/monitor/_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader.md
DNF-MON-DIFF-0074	DIFF	_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader	CPacketTranslater::OnRegisterEventItem(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4637	function_reports/monitor/_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader.md
DNF-MON-DIFF-0075	DIFF	_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader	CPacketTranslater::OnWebQueryUserState(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1992	function_reports/monitor/_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader.md
DNF-MON-DIFF-0076	DIFF	_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader	CPacketTranslater::OnWebRequestARSInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4302	function_reports/monitor/_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader.md
DNF-MON-DIFF-0077	DIFF	_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader	CPacketTranslater::OnExchangeServerInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2652	function_reports/monitor/_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader.md
DNF-MON-DIFF-0078	DIFF	_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader	CPacketTranslater::OnRequestMemberEnter(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1121	function_reports/monitor/_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader.md
DNF-MON-DIFF-0079	DIFF	_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader	CPacketTranslater::OnMonitorPunishCancel(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4743	function_reports/monitor/_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader.md
DNF-MON-DIFF-0080	DIFF	_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader	CPacketTranslater::OnNoticeMemberChatMsg(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1637	function_reports/monitor/_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader.md
DNF-MON-DIFF-0081	DIFF	_ZN17CPacketTranslater21OnPvPChannelUserCountEP12PacketHeader	CPacketTranslater::OnPvPChannelUserCount(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3601	function_reports/monitor/_ZN17CPacketTranslater21OnPvPChannelUserCountEP12PacketHeader.md
DNF-MON-DIFF-0082	DIFF	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	CPacketTranslater::OnRegisterToBlackList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2259	function_reports/monitor/_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader.md
DNF-MON-DIFF-0083	DIFF	_ZN17CPacketTranslater21OnUpdateMiniCraneSeedEP12PacketHeader	CPacketTranslater::OnUpdateMiniCraneSeed(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5526	function_reports/monitor/_ZN17CPacketTranslater21OnUpdateMiniCraneSeedEP12PacketHeader.md
DNF-MON-DIFF-0084	DIFF	_ZN17CPacketTranslater21OnUserRepelByCharNameEP12PacketHeader	CPacketTranslater::OnUserRepelByCharName(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3149	function_reports/monitor/_ZN17CPacketTranslater21OnUserRepelByCharNameEP12PacketHeader.md
DNF-MON-DIFF-0085	DIFF	_ZN17CPacketTranslater22OnRelayServerUserCheckEP12PacketHeader	CPacketTranslater::OnRelayServerUserCheck(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2055	function_reports/monitor/_ZN17CPacketTranslater22OnRelayServerUserCheckEP12PacketHeader.md
DNF-MON-DIFF-0086	DIFF	_ZN17CPacketTranslater23OnDBMWDeleteToBlackListEP12PacketHeader	CPacketTranslater::OnDBMWDeleteToBlackList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2501	function_reports/monitor/_ZN17CPacketTranslater23OnDBMWDeleteToBlackListEP12PacketHeader.md
DNF-MON-DIFF-0087	DIFF	_ZN17CPacketTranslater23OnQueryBuddyInfoDBReplyEP12PacketHeader	CPacketTranslater::OnQueryBuddyInfoDBReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3023	function_reports/monitor/_ZN17CPacketTranslater23OnQueryBuddyInfoDBReplyEP12PacketHeader.md
DNF-MON-DIFF-0088	DIFF	_ZN17CPacketTranslater23OnWebChangeUserHandicapEP12PacketHeader	CPacketTranslater::OnWebChangeUserHandicap(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3076	function_reports/monitor/_ZN17CPacketTranslater23OnWebChangeUserHandicapEP12PacketHeader.md
DNF-MON-DIFF-0089	DIFF	_ZN17CPacketTranslater24OnNoticeCharLiveOnTenMinEP12PacketHeader	CPacketTranslater::OnNoticeCharLiveOnTenMin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2692	function_reports/monitor/_ZN17CPacketTranslater24OnNoticeCharLiveOnTenMinEP12PacketHeader.md
DNF-MON-DIFF-0090	DIFF	_ZN17CPacketTranslater24onReplyLoadTowerFullRankEP12PacketHeader	CPacketTranslater::onReplyLoadTowerFullRank(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3189	function_reports/monitor/_ZN17CPacketTranslater24onReplyLoadTowerFullRankEP12PacketHeader.md
DNF-MON-DIFF-0091	DIFF	_ZN17CPacketTranslater25OnDBMWResisterToBlackListEP12PacketHeader	CPacketTranslater::OnDBMWResisterToBlackList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2435	function_reports/monitor/_ZN17CPacketTranslater25OnDBMWResisterToBlackListEP12PacketHeader.md
DNF-MON-DIFF-0092	DIFF	_ZN17CPacketTranslater25onItemLimitEditionSellEndEP12PacketHeader	CPacketTranslater::onItemLimitEditionSellEnd(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3882	function_reports/monitor/_ZN17CPacketTranslater25onItemLimitEditionSellEndEP12PacketHeader.md
DNF-MON-DIFF-0093	DIFF	_ZN17CPacketTranslater26OnWebEmergencyPatchMessageEP12PacketHeader	CPacketTranslater::OnWebEmergencyPatchMessage(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5479	function_reports/monitor/_ZN17CPacketTranslater26OnWebEmergencyPatchMessageEP12PacketHeader.md
DNF-MON-DIFF-0094	DIFF	_ZN17CPacketTranslater27OnCheckOverlappedAccusationEP12PacketHeader	CPacketTranslater::OnCheckOverlappedAccusation(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4334	function_reports/monitor/_ZN17CPacketTranslater27OnCheckOverlappedAccusationEP12PacketHeader.md
DNF-MON-DIFF-0095	DIFF	_ZN17CPacketTranslater27OnMonitorFindFactoryHubUserEP12PacketHeader	CPacketTranslater::OnMonitorFindFactoryHubUser(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3999	function_reports/monitor/_ZN17CPacketTranslater27OnMonitorFindFactoryHubUserEP12PacketHeader.md
DNF-MON-DIFF-0096	DIFF	_ZN17CPacketTranslater27OnMonitorSecuServiceConnWebEP12PacketHeader	CPacketTranslater::OnMonitorSecuServiceConnWeb(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4823	function_reports/monitor/_ZN17CPacketTranslater27OnMonitorSecuServiceConnWebEP12PacketHeader.md
DNF-MON-DIFF-0097	DIFF	_ZN17CPacketTranslater27OnNoticeOtherChannelChatMsgEP12PacketHeader	CPacketTranslater::OnNoticeOtherChannelChatMsg(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	859	function_reports/monitor/_ZN17CPacketTranslater27OnNoticeOtherChannelChatMsgEP12PacketHeader.md
DNF-MON-DIFF-0098	DIFF	_ZN17CPacketTranslater27OnNoticeProhibitConnectUserEP12PacketHeader	CPacketTranslater::OnNoticeProhibitConnectUser(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2120	function_reports/monitor/_ZN17CPacketTranslater27OnNoticeProhibitConnectUserEP12PacketHeader.md
DNF-MON-DIFF-0099	DIFF	_ZN17CPacketTranslater27OnVillageMonsterFightResultEP12PacketHeader	CPacketTranslater::OnVillageMonsterFightResult(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4211	function_reports/monitor/_ZN17CPacketTranslater27OnVillageMonsterFightResultEP12PacketHeader.md
DNF-MON-DIFF-0100	DIFF	_ZN17CPacketTranslater27onSocialEventRewardItemInfoEP12PacketHeader	CPacketTranslater::onSocialEventRewardItemInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5136	function_reports/monitor/_ZN17CPacketTranslater27onSocialEventRewardItemInfoEP12PacketHeader.md
DNF-MON-DIFF-0101	DIFF	_ZN17CPacketTranslater29onItemLimitEditionLoadDataReqEP12PacketHeader	CPacketTranslater::onItemLimitEditionLoadDataReq(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3748	function_reports/monitor/_ZN17CPacketTranslater29onItemLimitEditionLoadDataReqEP12PacketHeader.md
DNF-MON-DIFF-0102	DIFF	_ZN17CPacketTranslater29onItemLimitEditionLoadDataRpyEP12PacketHeader	CPacketTranslater::onItemLimitEditionLoadDataRpy(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3802	function_reports/monitor/_ZN17CPacketTranslater29onItemLimitEditionLoadDataRpyEP12PacketHeader.md
DNF-MON-DIFF-0103	DIFF	_ZN17CPacketTranslater29onSocialEventRewardItemUpdateEP12PacketHeader	CPacketTranslater::onSocialEventRewardItemUpdate(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5224	function_reports/monitor/_ZN17CPacketTranslater29onSocialEventRewardItemUpdateEP12PacketHeader.md
DNF-MON-DIFF-0104	DIFF	_ZN17CPacketTranslater30OnDBMWResponseBlackListOnLoginEP12PacketHeader	CPacketTranslater::OnDBMWResponseBlackListOnLogin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2601	function_reports/monitor/_ZN17CPacketTranslater30OnDBMWResponseBlackListOnLoginEP12PacketHeader.md
DNF-MON-DIFF-0105	DIFF	_ZN17CPacketTranslater30OnNoticeMemberChatMsgHyperLinkEP12PacketHeader	CPacketTranslater::OnNoticeMemberChatMsgHyperLink(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4879	function_reports/monitor/_ZN17CPacketTranslater30OnNoticeMemberChatMsgHyperLinkEP12PacketHeader.md
DNF-MON-DIFF-0106	DIFF	_ZN17CPacketTranslater30onRequestCharacTowerUpdateRankEP12PacketHeader	CPacketTranslater::onRequestCharacTowerUpdateRank(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3224	function_reports/monitor/_ZN17CPacketTranslater30onRequestCharacTowerUpdateRankEP12PacketHeader.md
DNF-MON-DIFF-0107	DIFF	_ZN17CPacketTranslater30onSocialEventRewardItemInfoAllEP12PacketHeader	CPacketTranslater::onSocialEventRewardItemInfoAll(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5185	function_reports/monitor/_ZN17CPacketTranslater30onSocialEventRewardItemInfoAllEP12PacketHeader.md
DNF-MON-DIFF-0108	DIFF	_ZN17CPacketTranslater31onRequestCharacInfoByCharacNameEP12PacketHeader	CPacketTranslater::onRequestCharacInfoByCharacName(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5264	function_reports/monitor/_ZN17CPacketTranslater31onRequestCharacInfoByCharacNameEP12PacketHeader.md
DNF-MON-DIFF-0109	DIFF	_ZN17CPacketTranslater31onSocialEventRewardItemResponseEP12PacketHeader	CPacketTranslater::onSocialEventRewardItemResponse(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5098	function_reports/monitor/_ZN17CPacketTranslater31onSocialEventRewardItemResponseEP12PacketHeader.md
DNF-MON-DIFF-0110	DIFF	_ZN17CPacketTranslater32onItemLimitEditionBuyableRequestEP12PacketHeader	CPacketTranslater::onItemLimitEditionBuyableRequest(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3935	function_reports/monitor/_ZN17CPacketTranslater32onItemLimitEditionBuyableRequestEP12PacketHeader.md
DNF-MON-DIFF-0111	DIFF	_ZN17CPacketTranslater36OnNoticeOtherChannelChatMsgHyperLinkEP12PacketHeader	CPacketTranslater::OnNoticeOtherChannelChatMsgHyperLink(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4928	function_reports/monitor/_ZN17CPacketTranslater36OnNoticeOtherChannelChatMsgHyperLinkEP12PacketHeader.md
DNF-MON-DIFF-0112	DIFF	_ZN17CPacketTranslater7OnLoginEP12PacketHeader	CPacketTranslater::OnLogin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	286	function_reports/monitor/_ZN17CPacketTranslater7OnLoginEP12PacketHeader.md
DNF-MON-DIFF-0113	DIFF	_ZN17CPacketTranslater8OnLogoutEP12PacketHeader	CPacketTranslater::OnLogout(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	429	function_reports/monitor/_ZN17CPacketTranslater8OnLogoutEP12PacketHeader.md
DNF-MON-DIFF-0114	DIFF	_ZN17CTcpNetworkThread8dispatchEPv	CTcpNetworkThread::dispatch(void*)	source/DNFServer/GameServer/Monitor/DNFTcpNetworkThread.cpp	73	function_reports/monitor/_ZN17CTcpNetworkThread8dispatchEPv.md
DNF-MON-DIFF-0115	DIFF	_ZN17CUdpNetworkThread8dispatchEPv	CUdpNetworkThread::dispatch(void*)	source/DNFServer/GameServer/Monitor/DNFNetworkThread.cpp	67	function_reports/monitor/_ZN17CUdpNetworkThread8dispatchEPv.md
DNF-MON-DIFF-0116	DIFF	_ZN18CFrameCountHandler17GetFrameCountInfoEv	CFrameCountHandler::GetFrameCountInfo()	source/DNFServer/GameServer/Monitor/DNFTickHandler.cpp	55	function_reports/monitor/_ZN18CFrameCountHandler17GetFrameCountInfoEv.md
DNF-MON-DIFF-0117	DIFF	_ZN18CMemoryCashManager18ProcessLifeTimeOutEv	CMemoryCashManager::ProcessLifeTimeOut()	source/DNFServer/GameServer/Monitor/MemoryCashManager.cpp	51	function_reports/monitor/_ZN18CMemoryCashManager18ProcessLifeTimeOutEv.md
DNF-MON-NEAR-0009	NEAR	_ZN18CMemoryCashManager20ProcessCashDataPrintEv	CMemoryCashManager::ProcessCashDataPrint()	source/DNFServer/GameServer/Monitor/MemoryCashManagerC5.cpp	9	function_reports/monitor/_ZN18CMemoryCashManager20ProcessCashDataPrintEv.md
DNF-MON-DIFF-0118	DIFF	_ZN18CMemoryCashManager21QueryCashMemoryMemberEP5CUser	CMemoryCashManager::QueryCashMemoryMember(CUser*)	source/DNFServer/GameServer/Monitor/MemoryCashManager.cpp	76	function_reports/monitor/_ZN18CMemoryCashManager21QueryCashMemoryMemberEP5CUser.md
DNF-MON-DIFF-0119	DIFF	_ZN18CMemoryCashManager24QueryCashMemoryBlackListEP5CUser	CMemoryCashManager::QueryCashMemoryBlackList(CUser*)	source/DNFServer/GameServer/Monitor/MemoryCashManager.cpp	177	function_reports/monitor/_ZN18CMemoryCashManager24QueryCashMemoryBlackListEP5CUser.md
DNF-MON-DIFF-0120	DIFF	_ZN18CMemoryCashManager24QueryCashMemoryBuddyInfoEP5CUser	CMemoryCashManager::QueryCashMemoryBuddyInfo(CUser*)	source/DNFServer/GameServer/Monitor/MemoryCashManager.cpp	128	function_reports/monitor/_ZN18CMemoryCashManager24QueryCashMemoryBuddyInfoEP5CUser.md
