id	svc	status	mangled	demangled	file	line	report
DNF-MON-DIFF-0051	mon	DIFF	_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv	village_attacked::CVillageAttackedManager::OnServerGroupRewardVillageAttacked()	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	475	function_reports/monitor/_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv.md
DNF-MON-DIFF-0052	mon	DIFF	_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader	CPacketTranslater::OnCharLogin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	721	function_reports/monitor/_ZN17CPacketTranslater11OnCharLoginEP12PacketHeader.md
DNF-MON-DIFF-0053	mon	DIFF	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	CPacketTranslater::OnHeartBeat(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	658	function_reports/monitor/_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader.md
DNF-MON-DIFF-0054	mon	DIFF	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	CPacketTranslater::OnCeraUpdate(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	977	function_reports/monitor/_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader.md
DNF-MON-DIFF-0055	mon	DIFF	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	CPacketTranslater::OnGMRequestMid(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3100	function_reports/monitor/_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader.md
DNF-MON-DIFF-0056	mon	DIFF	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	CPacketTranslater::OnMemberSecede(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1425	function_reports/monitor/_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader.md
DNF-MON-DIFF-0057	mon	DIFF	_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader	CPacketTranslater::onCollectItems(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	5339	function_reports/monitor/_ZN17CPacketTranslater14onCollectItemsEP12PacketHeader.md
DNF-MON-DIFF-0058	mon	DIFF	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	CPacketTranslater::OnPayTaxToUpper(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1684	function_reports/monitor/_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader.md
DNF-MON-DIFF-0059	mon	DIFF	_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader	CPacketTranslater::OnReplyUserInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	576	function_reports/monitor/_ZN17CPacketTranslater15OnReplyUserInfoEP12PacketHeader.md
DNF-MON-DIFF-0060	mon	DIFF	_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader	CPacketTranslater::OnCallMemberList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1535	function_reports/monitor/_ZN17CPacketTranslater16OnCallMemberListEP12PacketHeader.md
DNF-MON-DIFF-0061	mon	DIFF	_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader	CPacketTranslater::OnChangeCharName(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3497	function_reports/monitor/_ZN17CPacketTranslater16OnChangeCharNameEP12PacketHeader.md
DNF-MON-DIFF-0062	mon	DIFF	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	CPacketTranslater::OnLogoutComplete(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1799	function_reports/monitor/_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader.md
DNF-MON-NEAR-0008	mon	NEAR	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	CPacketTranslater::OnPvPChannelInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3564	function_reports/monitor/_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader.md
DNF-MON-DIFF-0063	mon	DIFF	_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader	CPacketTranslater::OnTakeScreenShot(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4174	function_reports/monitor/_ZN17CPacketTranslater16OnTakeScreenShotEP12PacketHeader.md
DNF-MON-DIFF-0064	mon	DIFF	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	CPacketTranslater::OnAddBuddyDBReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2859	function_reports/monitor/_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader.md
DNF-MON-DIFF-0065	mon	DIFF	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	CPacketTranslater::OnCharacterDelete(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1880	function_reports/monitor/_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader.md
DNF-MON-DIFF-0066	mon	DIFF	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	CPacketTranslater::OnDelBuddyDBReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2971	function_reports/monitor/_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader.md
DNF-MON-DIFF-0067	mon	DIFF	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	CPacketTranslater::OnEventItemUpdate(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1014	function_reports/monitor/_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader.md
DNF-MON-DIFF-0068	mon	DIFF	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	CPacketTranslater::OnGameServerRegist(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4358	function_reports/monitor/_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader.md
DNF-MON-DIFF-0069	mon	DIFF	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	CPacketTranslater::OnInnerPacketLogin(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3293	function_reports/monitor/_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader.md
DNF-MON-DIFF-0070	mon	DIFF	_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader	CPacketTranslater::OnMemberEnterReply(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1238	function_reports/monitor/_ZN17CPacketTranslater18OnMemberEnterReplyEP12PacketHeader.md
DNF-MON-DIFF-0071	mon	DIFF	_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader	CPacketTranslater::OnSetCleanPadPoint(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4067	function_reports/monitor/_ZN17CPacketTranslater18OnSetCleanPadPointEP12PacketHeader.md
DNF-MON-DIFF-0072	mon	DIFF	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	CPacketTranslater::OnDeleteToBlackList(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2342	function_reports/monitor/_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader.md
DNF-MON-DIFF-0073	mon	DIFF	_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader	CPacketTranslater::OnInnerPacketLogout(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	3363	function_reports/monitor/_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader.md
DNF-MON-DIFF-0074	mon	DIFF	_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader	CPacketTranslater::OnRegisterEventItem(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4637	function_reports/monitor/_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader.md
DNF-MON-DIFF-0075	mon	DIFF	_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader	CPacketTranslater::OnWebQueryUserState(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1992	function_reports/monitor/_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader.md
DNF-MON-DIFF-0076	mon	DIFF	_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader	CPacketTranslater::OnWebRequestARSInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4302	function_reports/monitor/_ZN17CPacketTranslater19OnWebRequestARSInfoEP12PacketHeader.md
DNF-MON-DIFF-0077	mon	DIFF	_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader	CPacketTranslater::OnExchangeServerInfo(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	2652	function_reports/monitor/_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader.md
DNF-MON-DIFF-0078	mon	DIFF	_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader	CPacketTranslater::OnRequestMemberEnter(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1121	function_reports/monitor/_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader.md
DNF-MON-DIFF-0079	mon	DIFF	_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader	CPacketTranslater::OnMonitorPunishCancel(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	4743	function_reports/monitor/_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader.md
DNF-MON-DIFF-0080	mon	DIFF	_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader	CPacketTranslater::OnNoticeMemberChatMsg(PacketHeader*)	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	1637	function_reports/monitor/_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader.md
