id	status	mangled	demangled	file	line	report
DNF-GLD-DIFF-0137	DIFF	_ZN6CGuild26UpdateChangableInfoProcessEv	CGuild::UpdateChangableInfoProcess()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2022	function_reports/guild/_ZN6CGuild26UpdateChangableInfoProcessEv.md
DNF-GLD-DIFF-0138	DIFF	_ZN6CGuild27DismissGuildMemberAndNoticeEi	CGuild::DismissGuildMemberAndNotice(int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1285	function_reports/guild/_ZN6CGuild27DismissGuildMemberAndNoticeEi.md
DNF-GLD-DIFF-0139	DIFF	_ZN6CGuild27NoticeChatMsgToGuildMembersEjPciPKc	CGuild::NoticeChatMsgToGuildMembers(unsigned int, char*, int, char const*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1214	function_reports/guild/_ZN6CGuild27NoticeChatMsgToGuildMembersEjPciPKc.md
DNF-GLD-DIFF-0140	DIFF	_ZN6CGuild28SendGuildNameChangeToMembersEv	CGuild::SendGuildNameChangeToMembers()	source/DNFServer/GameServer/Guild/DNFGuild.cpp	895	function_reports/guild/_ZN6CGuild28SendGuildNameChangeToMembersEv.md
DNF-GLD-DIFF-0141	DIFF	_ZN6CGuild29NoticeMarkChangeToGuildMemberEj	CGuild::NoticeMarkChangeToGuildMember(unsigned int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1185	function_reports/guild/_ZN6CGuild29NoticeMarkChangeToGuildMemberEj.md
DNF-GLD-NEAR-0014	NEAR	_ZN6CGuild29getUnconnectedGuildMemberNameEj	CGuild::getUnconnectedGuildMemberName(unsigned int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1850	function_reports/guild/_ZN6CGuild29getUnconnectedGuildMemberNameEj.md
DNF-GLD-NEAR-0015	NEAR	_ZN6CGuild33ChangeUnconnectedGuildMemberGradeEji	CGuild::ChangeUnconnectedGuildMemberGrade(unsigned int, int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1833	function_reports/guild/_ZN6CGuild33ChangeUnconnectedGuildMemberGradeEji.md
DNF-GLD-DIFF-0142	DIFF	_ZN6CGuild34NoticeGuildMasterDelegateToMembersEPc	CGuild::NoticeGuildMasterDelegateToMembers(char*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	844	function_reports/guild/_ZN6CGuild34NoticeGuildMasterDelegateToMembersEPc.md
DNF-GLD-DIFF-0143	DIFF	_ZN6CGuild34NotifyCreateGuildAgitToGuildMemberEj	CGuild::NotifyCreateGuildAgitToGuildMember(unsigned int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2223	function_reports/guild/_ZN6CGuild34NotifyCreateGuildAgitToGuildMemberEj.md
DNF-GLD-DIFF-0144	DIFF	_ZN6CGuild34NotifyDeleteGuildAgitToGuildMemberEj	CGuild::NotifyDeleteGuildAgitToGuildMember(unsigned int)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2247	function_reports/guild/_ZN6CGuild34NotifyDeleteGuildAgitToGuildMemberEj.md
DNF-GLD-DIFF-0145	DIFF	_ZN6CGuild36NoticeChatMsgToGuildMembersHyperLinkEjPcihPK19hyperlink_item_infoPKc	CGuild::NoticeChatMsgToGuildMembersHyperLink(unsigned int, char*, int, unsigned char, hyperlink_item_info const*, char const*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	1246	function_reports/guild/_ZN6CGuild36NoticeChatMsgToGuildMembersHyperLinkEjPcihPK19hyperlink_item_infoPKc.md
DNF-GLD-DIFF-0146	DIFF	_ZN6CGuild9LoadGuildER17STGuildDBInfoOnlyPc	CGuild::LoadGuild(STGuildDBInfoOnly&, char*)	source/DNFServer/GameServer/Guild/DNFGuild.cpp	590	function_reports/guild/_ZN6CGuild9LoadGuildER17STGuildDBInfoOnlyPc.md
DNF-GLD-NEAR-0016	NEAR	_ZN8WongWork11CGMAccounts4isGMEj	WongWork::CGMAccounts::isGM(unsigned int)	source/DNFServer/GameServer/Guild/GMAccounts.cpp	116	function_reports/guild/_ZN8WongWork11CGMAccounts4isGMEj.md
DNF-GLD-DIFF-0147	DIFF	_ZN9CGuildWar12SameRankWorkEv	CGuildWar::SameRankWork()	source/DNFServer/GameServer/Guild/DNFGuildWar.cpp	250	function_reports/guild/_ZN9CGuildWar12SameRankWorkEv.md
DNF-GLD-DIFF-0148	DIFF	_ZN9CGuildWar13DBSaveProcessEP12CApplication	CGuildWar::DBSaveProcess(CApplication*)	source/DNFServer/GameServer/Guild/DNFGuildWar.cpp	362	function_reports/guild/_ZN9CGuildWar13DBSaveProcessEP12CApplication.md
DNF-GLD-DIFF-0149	DIFF	_ZN9CGuildWar15GetGuildWarInfoEP22ST_Guild_War_Rank_Info	CGuildWar::GetGuildWarInfo(ST_Guild_War_Rank_Info*)	source/DNFServer/GameServer/Guild/DNFGuildWar.cpp	161	function_reports/guild/_ZN9CGuildWar15GetGuildWarInfoEP22ST_Guild_War_Rank_Info.md
DNF-GLD-DIFF-0150	DIFF	_ZNK11CUdpHandler12SendToServerEPcitPKc	CUdpHandler::SendToServer(char*, int, unsigned short, char const*) const	source/DNFServer/GameServer/Guild/DNFUdpHandler.cpp	309	function_reports/guild/_ZNK11CUdpHandler12SendToServerEPcitPKc.md
DNF-GLD-DIFF-0151	DIFF	_ZNK6CGuild28PopGuildMemberChanglableInfoEjR26STGuildMemberChangableInfo	CGuild::PopGuildMemberChanglableInfo(unsigned int, STGuildMemberChangableInfo&) const	source/DNFServer/GameServer/Guild/DNFGuild.cpp	2003	function_reports/guild/_ZNK6CGuild28PopGuildMemberChanglableInfoEjR26STGuildMemberChangableInfo.md
