id	status	mangled	demangled	file	line	report
DNF-DBM-DIFF-0036	DIFF	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	CDBManager::OnSaveLoadingTimeReport(Packet_DBMW_Loading_Time_Report*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2147	function_reports/dbmw/_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report.md
DNF-DBM-NEAR-0008	NEAR	_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank	CDBManager::OnSavePowerWarGuildRank(Packet_DB_Save_Power_War_Guild_Rank*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1199	function_reports/dbmw/_ZN10CDBManager23OnSavePowerWarGuildRankEP35Packet_DB_Save_Power_War_Guild_Rank.md
DNF-DBM-DIFF-0037	DIFF	_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo	CDBManager::loadLimitNpcBuyItemInfo(LimitNpcBuyItemRequestInfo*, LimitNpcBuyItemResultInfo*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6853	function_reports/dbmw/_ZN10CDBManager23loadLimitNpcBuyItemInfoEP26LimitNpcBuyItemRequestInfoP25LimitNpcBuyItemResultInfo.md
DNF-DBM-DIFF-0038	DIFF	_ZN10CDBManager24ChangeGuildNotifyMessageEijPc	CDBManager::ChangeGuildNotifyMessage(int, unsigned int, char*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	7028	function_reports/dbmw/_ZN10CDBManager24ChangeGuildNotifyMessageEijPc.md
DNF-DBM-DIFF-0039	DIFF	_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer	CDBManager::InsertFrameLagStatistics(Packet_Frame_Lag_Statistic_Write_Lag_Index*, CStatisticsServer*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5062	function_reports/dbmw/_ZN10CDBManager24InsertFrameLagStatisticsEP42Packet_Frame_Lag_Statistic_Write_Lag_IndexP17CStatisticsServer.md
DNF-DBM-DIFF-0040	DIFF	_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD	CDBManager::OnGoldcardEventStatistic(Packet_Goldcard_Event_Statistic_STD*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1465	function_reports/dbmw/_ZN10CDBManager24OnGoldcardEventStatisticEP35Packet_Goldcard_Event_Statistic_STD.md
DNF-DBM-DIFF-0041	DIFF	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	CDBManager::OnGuildJoinByListApprove(unsigned int, char, unsigned int, unsigned int, STGuildJoinInfo&, unsigned int&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	3131	function_reports/dbmw/_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj.md
DNF-DBM-NEAR-0009	NEAR	_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	CDBManager::OnManagerEventTriggerAck(Packet_Manager_Event_Trigger_Ack*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2113	function_reports/dbmw/_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack.md
DNF-DBM-DIFF-0042	DIFF	_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	CDBManager::OnSavePowerWarBonusPoint(Packet_DB_Save_Power_War_Bonus_Point*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	893	function_reports/dbmw/_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point.md
DNF-DBM-DIFF-0043	DIFF	_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	CDBManager::QueryCubeStatisticCreate(Packet_DBMW_Cube_Statistic*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5689	function_reports/dbmw/_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic.md
DNF-DBM-DIFF-0044	DIFF	_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	CDBManager::QueryUpdateChannelOccNum(Packet_User_Count_Statistic*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1502	function_reports/dbmw/_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic.md
DNF-DBM-DIFF-0045	DIFF	_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	CDBManager::SaveUnchangableGuildInfo(Packet_UnChangable_GuildInfo_Save*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5753	function_reports/dbmw/_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save.md
DNF-DBM-DIFF-0046	DIFF	_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB	CDBManager::UpdateRandomboxStatistic(Packet_Randombox_statistic_DB*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1924	function_reports/dbmw/_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB.md
DNF-DBM-DIFF-0047	DIFF	_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer	CDBManager::insertHolePunchingResult(Packet_GameServer2Statisctics2DBServer*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1897	function_reports/dbmw/_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer.md
