status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	ASN1_tag2bit	0x8824b80	0x14			
MISSING	ASN1_tag2str	0x88291d0	0x2c			
MISSING	ASN1_template_d2i	0x8826c50	0x34			
MISSING	ASN1_template_free	0x8823ab0	0x7f			
MISSING	ASN1_template_i2d	0x8824950	0x21			
MISSING	ASN1_template_new	0x8823310	0x135			
MISSING	ASN1_unpack_string	0x886ea10	0x68			
MISSING	ASN1_verify	0x8869660	0x1f1			
MISSING	AUTHORITY_INFO_ACCESS_free	0x883f6b0	0x1b			
MISSING	AUTHORITY_INFO_ACCESS_new	0x883f6f0	0x13			
MISSING	AUTHORITY_KEYID_free	0x883fef0	0x1b			
MISSING	AUTHORITY_KEYID_new	0x883ff10	0x13			
MISSING	B64_write_ASN1	0x888ca20	0xd2			
MISSING	BASIC_CONSTRAINTS_free	0x8870270	0x1b			
MISSING	BASIC_CONSTRAINTS_new	0x8870290	0x13			
MISSING	BIO_asn1_get_prefix	0x888fbd0	0x47			
MISSING	BIO_asn1_get_suffix	0x888fe20	0x47			
MISSING	BIO_asn1_set_prefix	0x888fde0	0x3b			
MISSING	BIO_asn1_set_suffix	0x888fc20	0x3b			
MISSING	BIO_callback_ctrl	0x87eb940	0x106			
MISSING	BIO_clear_flags	0x87eb7d0	0xe			
MISSING	BIO_copy_next_retry	0x87ec470	0x17			
MISSING	BIO_ctrl	0x87eba50	0x129			
MISSING	BIO_ctrl_pending	0x87ebc70	0x2b			
MISSING	BIO_ctrl_wpending	0x87ebc40	0x2b			
MISSING	BIO_dump	0x8864fa0	0x33			
MISSING	BIO_dump_cb	0x8864f20	0x33			
MISSING	BIO_dump_fp	0x8864f60	0x33			
MISSING	BIO_dump_indent	0x8864ea0	0x33			
MISSING	BIO_dump_indent_cb	0x8864a80	0x41c			
MISSING	BIO_dump_indent_fp	0x8864ee0	0x33			
MISSING	BIO_dup_chain	0x87ec5b0	0x10c			
MISSING	BIO_f_asn1	0x888fbc0	0x6			
MISSING	BIO_f_base64	0x888ecf0	0x6			
MISSING	BIO_f_buffer	0x888e300	0x6			
MISSING	BIO_f_cipher	0x88199a0	0x6			
MISSING	BIO_f_md	0x8819580	0x6			
MISSING	BIO_find_type	0x87eb870	0x35			
MISSING	BIO_free	0x87ec260	0xba			
MISSING	BIO_free_all	0x87ec320	0x2f			
MISSING	BIO_get_callback	0x87eb800	0x8			
MISSING	BIO_get_callback_arg	0x87eb830	0x8			
MISSING	BIO_get_ex_data	0x87eb8e0	0x10			
MISSING	BIO_get_ex_new_index	0x87eb900	0x3b			
MISSING	BIO_get_retry_BIO	0x87ec440	0x30			
MISSING	BIO_get_retry_reason	0x87eb860	0x8			
MISSING	BIO_gets	0x87ebd30	0x126			
MISSING	BIO_indent	0x87ebfa0	0x50			
MISSING	BIO_int_ctrl	0x87ebcf0	0x33			
MISSING	BIO_method_name	0x87eb840	0xa			
