type	size	addr	mangled	demangled	obj
T	0xa8	0x81f64aa	_ZN8map_itemC1ERKS_	map_item::map_item(map_item const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/MapInfo.cpp.o
T	0xa8	0x81f64aa	_ZN8map_itemC2ERKS_	map_item::map_item(map_item const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/MapInfo.cpp.o
T	0xb7	0x81f6558	_ZN8map_itemaSERKS_	map_item::operator=(map_item const&)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/MapInfo.cpp.o
T	0x5	0x825ba6b	_ZN9CItemShop22updateOneADayItemListEv	_ZN9CItemShop22updateOneADayItemListEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x99	0x81bf08a	_ZN9GameWorld18IsPowerWarSafeZoneEiii	GameWorld::IsPowerWarSafeZone(int, int, int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameWorld.cpp.o
T	0x796	0x81c3b4c	_ZN9GameWorld24send_chat_msg_hyper_linkEP5CUserPv15ENUM_NOTIPACKET	GameWorld::send_chat_msg_hyper_link(CUser*, void*, ENUM_NOTIPACKET)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameWorld.cpp.o
T	0x161	0x81c2130	_ZN9GameWorld31make_packet_chat_msg_hyper_linkER11PacketGuardP5CUserPv15ENUM_NOTIPACKET	GameWorld::make_packet_chat_msg_hyper_link(PacketGuard&, CUser*, void*, ENUM_NOTIPACKET)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameWorld.cpp.o
T	0xa	0x813f110	_ZN9item_lock9CItemLock13CheckItemLockEP16CExpandEquipslot	item_lock::CItemLock::CheckItemLock(CExpandEquipslot*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CItemLock.cpp.o
T	0xcd	0x812755c	_ZNK10CInventory14MakeItemPacketEiiR11PacketGuard	CInventory::MakeItemPacket(int, int, PacketGuard&) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CInventory.cpp.o
T	0xa	0x825b4a4	_ZNK10CTimeGate6isOpenEv	_ZNK10CTimeGate6isOpenEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
