category	type	size	addr	mangled	demangled	obj
WEAK_TEMPLATE	W	0x16	0x8165e16	_ZN10StaticPoolIN13private_store13CPrivateStoreELi300EE6RemainEv	StaticPool<private_store::CPrivateStore, 300>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x12c	0x8165cd4	_ZN10StaticPoolIN13private_store13CPrivateStoreELi300EE8GetIndexEPS1_	StaticPool<private_store::CPrivateStore, 300>::GetIndex(private_store::CPrivateStore*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x119	0x8166164	_ZN10StaticPoolIN15exchange_server8CSessionELi300EE3GetEi	StaticPool<exchange_server::CSession, 300>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x816650f	_ZN10StaticPoolIN15exchange_server8CSessionELi300EE4SizeEv	StaticPool<exchange_server::CSession, 300>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x816651a	_ZN10StaticPoolIN15exchange_server8CSessionELi300EE6RemainEv	StaticPool<exchange_server::CSession, 300>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x12c	0x81663d8	_ZN10StaticPoolIN15exchange_server8CSessionELi300EE8GetIndexEPS1_	StaticPool<exchange_server::CSession, 300>::GetIndex(exchange_server::CSession*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x109	0x81667b6	_ZN10StaticPoolIN18online_preliminary22COnlinePreliminaryTeamELi600EE3GetEi	StaticPool<online_preliminary::COnlinePreliminaryTeam, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0xa	0x8166b31	_ZN10StaticPoolIN18online_preliminary22COnlinePreliminaryTeamELi600EE4SizeEv	StaticPool<online_preliminary::COnlinePreliminaryTeam, 600>::Size()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x16	0x8166b3c	_ZN10StaticPoolIN18online_preliminary22COnlinePreliminaryTeamELi600EE6RemainEv	StaticPool<online_preliminary::COnlinePreliminaryTeam, 600>::Remain()	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x11d	0x8166a08	_ZN10StaticPoolIN18online_preliminary22COnlinePreliminaryTeamELi600EE8GetIndexEPS1_	StaticPool<online_preliminary::COnlinePreliminaryTeam, 600>::GetIndex(online_preliminary::COnlinePreliminaryTeam*)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
WEAK_TEMPLATE	W	0x115	0x8161c24	_ZN10StaticPoolIN8WongWork10CBossTowerELi600EE3GetEi	StaticPool<WongWork::CBossTower, 600>::Get(int)	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CGameManager.cpp.o
