file	symbol	demangled	in_original	orig_addr	orig_size	new_addr	new_size	orig_insns	new_insns	mnemonic_exact	mnemonic_overlap	call_mismatch	imm_mismatch
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxxneIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESB_	bool __gnu_cxx::operator!=<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&)	1	0x804b353	44	0x804baa7	44	18	18	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZN9__gnu_cxxneIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEEbRKNS_17__normal_iteratorIT_T0_EESC_	bool __gnu_cxx::operator!=<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&, __gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > > const&)	1	0x8055d09	44	0x804c8f2	44	18	18	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx13new_allocatorI16STPvPBuddyDBInfoE8max_sizeEv	__gnu_cxx::new_allocator<STPvPBuddyDBInfo>::max_size() const	1	0x804bf0a	10	0x804c8e8	10	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEE4baseEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::base() const	1	0x804b9de	8	0x804c32c	8	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEdeEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator*() const	1	0x804b466	10	0x804bbba	10	6	6	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEplERKi	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator+(int const&) const	1	0x804b9e6	54	0x804c334	54	21	21	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEE4baseEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::base() const	1	0x8055e04	8	0x804ca82	8	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNK9__gnu_cxx17__normal_iteratorIPK16STPvPBuddyDBInfoSt6vectorIS1_SaIS1_EEEdeEv	__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo const*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >::operator*() const	1	0x8055d4c	10	0x804c934	10	6	6	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE19_M_get_Tp_allocatorEv	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_get_Tp_allocator() const	1	0x804bf02	8	0x804bc96	8	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE12_M_check_lenEjPKc	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_check_len(unsigned int, char const*) const	1	0x804bb9a	165	0x804c532	165	56	56	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE3endEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::end() const	1	0x8055774	44	0x804bd3c	44	17	17	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE4sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::size() const	1	0x804b1e8	30	0x804bbc4	30	13	13	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE5beginEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::begin() const	1	0x8055748	43	0x804bd10	43	17	17	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNKSt6vectorI16STPvPBuddyDBInfoSaIS0_EE8max_sizeEv	std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::max_size() const	1	0x804be00	27	0x804c838	27	10	10	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSaI16STPvPBuddyDBInfoEC1ERKS0_	std::allocator<STPvPBuddyDBInfo>::allocator(std::allocator<STPvPBuddyDBInfo> const&)	1	0x8055b70	26	0x804c70c	26	10	10	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSaI16STPvPBuddyDBInfoEC1Ev	std::allocator<STPvPBuddyDBInfo>::allocator()	1	0x8055a46	19	0x804c6b8	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSaI16STPvPBuddyDBInfoED1Ev	std::allocator<STPvPBuddyDBInfo>::~allocator()	1	0x8051e92	19	0x804c40c	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt11__copy_moveILb0ELb0ESt26random_access_iterator_tagE8__copy_mIP16STPvPBuddyDBInfoS4_EET0_T_S6_S5_	STPvPBuddyDBInfo* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<STPvPBuddyDBInfo*, STPvPBuddyDBInfo*>(STPvPBuddyDBInfo*, STPvPBuddyDBInfo*, STPvPBuddyDBInfo*)	0			0x804c9f9	136	0	47	no	0.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Destroy_auxILb0EE9__destroyIP16STPvPBuddyDBInfoEEvT_S4_	void std::_Destroy_aux<false>::__destroy<STPvPBuddyDBInfo*>(STPvPBuddyDBInfo*, STPvPBuddyDBInfo*)	0			0x804c6e5	38	0	15	no	0.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE11_M_allocateEj	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_allocate(unsigned int)	1	0x804bc74	47	0x804c49a	47	15	15	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC1ERKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl(std::allocator<STPvPBuddyDBInfo> const&)	1	0x8055a5a	55	0x804c462	55	16	16	yes	1.0	no	no
