status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	my_mb_wc_sjis	0x8143dd0	0x109	0x80ed0e0	0x109	
NEAR	my_mb_wc_tis620	0x8144670	0x42	0x80ed300	0x42	
NEAR	my_memdup	0x8107010	0x54	0x80d2ed0	0x54	
NEAR	my_message	0x8105720	0x34	0x80d1660	0x34	
NEAR	my_message_no_curses	0x8107070	0xc5	0x80d2f30	0xc5	
NEAR	my_micro_time	0x813c3d0	0x48	0x80e5c90	0x48	
NEAR	my_micro_time_and_time	0x813c380	0x50	0x80e5c40	0x50	
NEAR	my_multi_malloc	0x8104d40	0x79	0x80d1020	0x79	
NEAR	my_net_init	0x80d1470	0xc6	0x80d7430	0xc6	
NEAR	my_net_local_init	0x80cce80	0x6c	0x80ce9f0	0x6c	
DIFF	my_net_read	0x80d11d0	0x299	0x80d7360	0x83	
DIFF	my_net_write	0x80d0d00	0xe3	0x80d6ea0	0xe3	
NEAR	my_no_flags_free	0x8106e40	0x27	0x80d2d00	0x27	
DIFF	my_numcells_cp932	0x813da70	0x52	0x80e8d60	0x52	
NEAR	my_numcells_mb	0x81428f0	0xb4	0x80dc960	0xb4	
DIFF	my_numcells_sjis	0x8143ee0	0x52	0x80ed1f0	0x52	
DIFF	my_numchars_utf16	0x8111e40	0x64	0x80e0b40	0x38	
NEAR	my_once_alloc	0x8107190	0xf3	0x80d3050	0xf3	
NEAR	my_once_free	0x8107140	0x46	0x80d3000	0x46	
NEAR	my_once_memdup	0x8107290	0x54	0x80d3150	0x54	
NEAR	my_once_strdup	0x81072f0	0x62	0x80d31b0	0x62	
NEAR	my_open	0x81075d0	0x62	0x80d3490	0x62	
NEAR	my_parse_charset_xml	0x8116c90	0xae	0x80e42f0	0xae	
NEAR	my_pipe_sig_handler	0x80cdc00	0x2e	0x80cf840	0x2e	
DIFF	my_print_default_files	0x81021b0	0x1fb	0x80c37b0	0x1f3	
NEAR	my_printf_error	0x8105950	0x61	0x80d1890	0x61	
NEAR	my_printv_error	0x81058e0	0x61	0x80d1820	0x61	
DIFF	my_qsort	0x813b6a0	0xc4b	0x80e4f00	0xca5	
DIFF	my_read	0x8107640	0x3fb	0x80d3500	0x19d	
NEAR	my_read_charset_file	0x81010d0	0x10b	0x80dabc0	0x10b	
DIFF	my_readlink	0x8107da0	0xb5	0x80d3d40	0xb5	
DIFF	my_real_read	0x80d0f30	0x29e	0x80d70d0	0x286	
NEAR	my_realloc	0x8107a40	0xba	0x80e5de0	0xba	
NEAR	my_realpath	0x8107be0	0xb9	0x80d3b80	0xb9	
DIFF	my_register_filename	0x8107470	0x157	0x80d3330	0x15c	
NEAR	my_rnd_init	0x8107b00	0x80	0x80e5ea0	0x80	
DIFF	my_scan_utf32	0x8110830	0x9e	0x80e1b50	0x9e	
DIFF	my_search_option_files	0x8103180	0x3c6	0x80c4820	0x31d	
NEAR	my_setwd	0x81062d0	0x101	0x80d2210	0x101	
NEAR	my_snprintf	0x811e730	0x38	0x80d6920	0x38	
NEAR	my_snprintf_8bit	0x810c510	0x38	0x80c0fe0	0x38	
DIFF	my_snprintf_mb2	0x8111960	0x21d	0x80e3200	0x21d	
DIFF	my_snprintf_utf32	0x8111720	0x23b	0x80e2fc0	0x23b	
NEAR	my_stat	0x8106880	0xc0	0x80d27c0	0xc0	
NEAR	my_str_free_default	0x8147cb0	0x23	0x80f0360	0x23	
NEAR	my_str_malloc_default	0x8147ce0	0x33	0x80f0390	0x33	
DIFF	my_strcasecmp_8bit	0x8109f00	0x6a	0x80bebe0	0x6a	
NEAR	my_strcasecmp_bin	0x8109540	0x2a	0x80dc1b0	0x2a	
NEAR	my_strcasecmp_mb_bin	0x8143830	0x2a	0x80dd6d0	0x2a	
DIFF	my_strcasecmp_utf8mb3	0x81168d0	0x23b	0x80c29f0	0x168	
DIFF	my_strcasecmp_utf8mb4	0x8116490	0x395	0x80c2b60	0x168	
NEAR	my_strdup	0x8106fa0	0x62	0x80d2e60	0x62	
NEAR	my_strndup	0x8106f40	0x5b	0x80d2e00	0x5b	
DIFF	my_strnncoll_any_uca	0x810e250	0xaa	0x80de270	0x53	
DIFF	my_strnncoll_big5	0x813c510	0x183	0x80e76c0	0x47	
DIFF	my_strnncoll_cp932	0x813df60	0x187	0x80e87a0	0x50	
DIFF	my_strnncoll_czech	0x813e250	0x29f	0x80e8e70	0x297	
NEAR	my_strnncoll_gbk	0x8141830	0x66	0x80ec340	0x66	
DIFF	my_strnncoll_gbk_internal	0x8141680	0x1a7	0x80ec190	0x1a7	
DIFF	my_strnncoll_latin1_de	0x8109730	0x118	0x80be3f0	0x118	
DIFF	my_strnncoll_sjis	0x81444e0	0x187	0x80ecc80	0x50	
DIFF	my_strnncoll_tis620	0x8144730	0x376	0x80ed730	0x14e	
DIFF	my_strnncoll_ucs2	0x8110b70	0x131	0x80e1e90	0x13a	
DIFF	my_strnncoll_ucs2_bin	0x8110e60	0xd1	0x80e2180	0xe2	
DIFF	my_strnncoll_ucs2_uca	0x810cc20	0xaa	0x80de380	0x53	
DIFF	my_strnncoll_utf16	0x8112cb0	0x2e8	0x80e2a00	0x1e4	
DIFF	my_strnncoll_utf16_bin	0x81132a0	0x22a	0x80e3e00	0x133	
