status	name	orig_addr	orig_size	new_addr	new_size
DIFF	_ZN17CPacketTranslater20OnExchangeServerInfoEP12PacketHeader	0x8086942	0x1f1	0x8072444	0x202
DIFF	_ZN17CPacketTranslater20OnRequestMemberEnterEP12PacketHeader	0x8080846	0x76a	0x806c5f4	0x78a
NEAR	_ZN17CPacketTranslater20onCollectItemsResultEP12PacketHeader	0x80912d8	0x21a	0x807c85c	0x21a
NEAR	_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	0x808d722	0x140	0x8078e0e	0x140
DIFF	_ZN17CPacketTranslater21OnMonitorPunishCancelEP12PacketHeader	0x808e364	0x3bf	0x8079a8e	0x3ab
DIFF	_ZN17CPacketTranslater21OnNoticeMemberChatMsgEP12PacketHeader	0x80827ea	0x389	0x806e3be	0x38c
DIFF	_ZN17CPacketTranslater21OnPvPChannelUserCountEP12PacketHeader	0x8089e4c	0x17d	0x80755ac	0x175
DIFF	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	0x8085694	0x46a	0x80710ae	0x47f
DIFF	_ZN17CPacketTranslater21OnUpdateMiniCraneSeedEP12PacketHeader	0x8091bc6	0x31b	0x807d152	0x319
DIFF	_ZN17CPacketTranslater21OnUserRepelByCharNameEP12PacketHeader	0x8083dd6	0x300	0x8073af6	0x2f0
NEAR	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	0x80916e4	0x1df	0x807cc68	0x1df
NEAR	_ZN17CPacketTranslater22OnRegisterEventUserIdxEP12PacketHeader	0x808db52	0x246	0x807923e	0x246
DIFF	_ZN17CPacketTranslater22OnRelayServerUserCheckEP12PacketHeader	0x80872e6	0x254	0x8070270	0x254
NEAR	_ZN17CPacketTranslater22RequestBlackListToDBMWEj	0x80865ba	0x119	0x8071fe0	0x119
DIFF	_ZN17CPacketTranslater23OnDBMWDeleteToBlackListEP12PacketHeader	0x8086350	0x269	0x8071d7e	0x262
DIFF	_ZN17CPacketTranslater23OnQueryBuddyInfoDBReplyEP12PacketHeader	0x80880d0	0x258	0x8073558	0x24f
NEAR	_ZN17CPacketTranslater23OnResponseIPCounterListEP12PacketHeader	0x808bff8	0x274	0x8077740	0x274
DIFF	_ZN17CPacketTranslater23OnWebChangeUserHandicapEP12PacketHeader	0x8088328	0xca	0x80737a8	0xc2
DIFF	_ZN17CPacketTranslater24OnNoticeCharLiveOnTenMinEP12PacketHeader	0x8086b34	0x3de	0x8072646	0x417
NEAR	_ZN17CPacketTranslater24OnResultRegisterEventIdxEP12PacketHeader	0x808dfc0	0x1a8	0x80796ea	0x1a8
DIFF	_ZN17CPacketTranslater24onReplyLoadTowerFullRankEP12PacketHeader	0x8088688	0x1f8	0x8073de6	0x1d7
DIFF	_ZN17CPacketTranslater25OnDBMWResisterToBlackListEP12PacketHeader	0x808605a	0x2f6	0x8071a88	0x2f6
NEAR	_ZN17CPacketTranslater25OnMonitorManagerConnectOKEP12PacketHeader	0x8085428	0x21f	0x8070e14	0x21f
NEAR	_ZN17CPacketTranslater25OnUpdateChangableCharInfoEP12PacketHeader	0x808259e	0x24c	0x806ecf0	0x24c
DIFF	_ZN17CPacketTranslater25onItemLimitEditionSellEndEP12PacketHeader	0x808b0b2	0x3e7	0x80767f4	0x40a
NEAR	_ZN17CPacketTranslater26OnVillageAttackedGMCommandEP12PacketHeader	0x808c90c	0x11a	0x8078032	0x11a
DIFF	_ZN17CPacketTranslater26OnWebEmergencyPatchMessageEP12PacketHeader	0x80918c4	0x301	0x807ce48	0x309
NEAR	_ZN17CPacketTranslater26onRequestReloadTowerRankerEP12PacketHeader	0x80889f8	0x140	0x8074136	0x140
DIFF	_ZN17CPacketTranslater27OnCheckOverlappedAccusationEP12PacketHeader	0x808cf32	0x1a9	0x8078656	0x1a6
DIFF	_ZN17CPacketTranslater27OnMonitorFindFactoryHubUserEP12PacketHeader	0x808b754	0x4f4	0x8076ec4	0x4ce
DIFF	_ZN17CPacketTranslater27OnMonitorSecuServiceConnWebEP12PacketHeader	0x808e8ce	0x3bd	0x8079fe4	0x3ac
DIFF	_ZN17CPacketTranslater27OnNoticeOtherChannelChatMsgEP12PacketHeader	0x8084830	0x85b	0x806b6d0	0x7c7
DIFF	_ZN17CPacketTranslater27OnNoticeProhibitConnectUserEP12PacketHeader	0x80833f4	0x6f8	0x80706f8	0x71b
NEAR	_ZN17CPacketTranslater27OnResponseFullIPCounterListEP12PacketHeader	0x808c26c	0x274	0x80779b4	0x274
NEAR	_ZN17CPacketTranslater27OnResultLoadPeriodicMessageEP12PacketHeader	0x808d862	0x185	0x8078f4e	0x185
