status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	my_l10tostr_mb2_or_mb4	0x810b300	0x102			
MISSING	my_lengthsp_8bit	0x8108a50	0xd4			
MISSING	my_lengthsp_binary	0x81053f0	0x8			
MISSING	my_lengthsp_mb2	0x810bb40	0x32			
MISSING	my_lengthsp_utf32	0x810cbd0	0x3e			
MISSING	my_like_range_big5	0x8133510	0x35e			
MISSING	my_like_range_cp932	0x8134bc0	0x20e			
MISSING	my_like_range_czech	0x8135880	0x1d9			
MISSING	my_like_range_gbk	0x81387c0	0x343			
MISSING	my_like_range_mb	0x813a150	0x541			
MISSING	my_like_range_simple	0x81072f0	0x266			
MISSING	my_like_range_sjis	0x813b030	0x313			
MISSING	my_like_range_ucs2	0x810d5c0	0x3ba			
MISSING	my_like_range_utf16	0x810bec0	0x2b0			
MISSING	my_like_range_utf32	0x810e940	0x3ac			
MISSING	my_like_range_win1250ch	0x813e6e0	0x1ab			
MISSING	my_ll10tostr_mb2_or_mb4	0x810b410	0x1ad			
MISSING	my_load_defaults	0x80ffa50	0x484			
MISSING	my_load_path	0x81323c0	0x141			
MISSING	my_long10_to_str_8bit	0x81088e0	0xde			
MISSING	my_longlong10_to_str_8bit	0x8108750	0x18e			
MISSING	my_malloc	0x8103370	0xc8			
MISSING	my_mb_ctype_8bit	0x8107820	0x35			
MISSING	my_mb_ctype_mb	0x8139820	0xa1			
MISSING	my_mb_wc_8bit	0x8106470	0x37			
MISSING	my_mb_wc_big5	0x8133a70	0xa9			
MISSING	my_mb_wc_bin	0x8105510	0x1f			
MISSING	my_mb_wc_cp932	0x8134f60	0x158			
MISSING	my_mb_wc_euc_jp	0x813c140	0x1175			
MISSING	my_mb_wc_euc_kr	0x8138050	0xa9			
MISSING	my_mb_wc_filename	0x8110b30	0x166			
MISSING	my_mb_wc_gb2312	0x81383b0	0xc9			
MISSING	my_mb_wc_gbk	0x8138d00	0x91			
MISSING	my_mb_wc_latin1	0x8105b60	0x44			
MISSING	my_mb_wc_sjis	0x813ac40	0x109			
MISSING	my_mb_wc_tis620	0x813b4e0	0x42			
MISSING	my_mb_wc_utf8mb3	0x8110720	0xee			
MISSING	my_mb_wc_utf8mb4	0x81101e0	0x1a0			
MISSING	my_mbcharlen_8bit	0x8105500	0xa			
MISSING	my_mbcharlen_ucs2	0x810d2f0	0xa			
MISSING	my_mbcharlen_utf16	0x810bd40	0x1d			
MISSING	my_mbcharlen_utf32	0x810c570	0xa			
MISSING	my_mbcharlen_utf8mb3	0x8110b00	0x30			
MISSING	my_mbcharlen_utf8mb4	0x81106e0	0x3a			
MISSING	my_memdup	0x8103510	0x54			
MISSING	my_message	0x8101c20	0x34			
MISSING	my_message_no_curses	0x8103570	0xc5			
MISSING	my_micro_time	0x8133240	0x48			
MISSING	my_micro_time_and_time	0x81331f0	0x50			
MISSING	my_multi_malloc	0x8101240	0x79			
MISSING	my_net_init	0x80cd970	0xc6			
MISSING	my_net_local_init	0x80c9380	0x6c			
MISSING	my_net_read	0x80cd6d0	0x299			
MISSING	my_net_set_read_timeout	0x80ccb70	0x2c			
