status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	_ZN13CTcpNetSystem18PushTcpSendPacketQEPc	0x805bf6a	0xe9	0x80f6028	0xe7
DIFF	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	0x805c916	0x11c	0x80f6110	0x123
DIFF	_ZN13CTcpNetSystem21SetEpollAcceptedPeersEv	0x805bd5c	0x19c	0x80f5a9c	0x199
NEAR	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	0x8060aca	0x265	0x80efa94	0x265
DIFF	_ZN14CNetworkThread8dispatchEPv	0x8064210	0x6d6	0x80c9c3a	0x6d6
DIFF	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	0x80920c4	0x11d	0x80ec150	0x112
DIFF	_ZN14CServerHandler16SendAllTcpServerEP12PacketHeader	0x808fe08	0xfa	0x80e03a0	0xfa
DIFF	_ZN17CPacketTranslater11OnGuildJoinEP12PacketHeader	0x8096dae	0x32e	0x80d0a18	0x32d
DIFF	_ZN17CPacketTranslater13OnGuildSecedeEP12PacketHeader	0x8097542	0x2cd	0x80d2e18	0x2bb
DIFF	_ZN17CPacketTranslater16OnDBMWInsertMailEP12PacketHeader	0x809ca50	0x28f	0x80d3cda	0x28b
DIFF	_ZN17CPacketTranslater16OnRequestARSInfoEP12PacketHeader	0x809d53a	0x3a5	0x80d9000	0x398
DIFF	_ZN17CPacketTranslater16OnTcpServerLoginEP12PacketHeader	0x809c2c6	0x27a	0x80db20e	0x25e
DIFF	_ZN17CPacketTranslater17OnSendGuildLetterEP12PacketHeader	0x80967ee	0x335	0x80d06dc	0x33b
DIFF	_ZN17CPacketTranslater18OnQueryGuildMemberEP12PacketHeader	0x8093a98	0x204	0x80d4182	0x201
DIFF	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	0x809511c	0x298	0x80d2430	0x29a
DIFF	_ZN17CPacketTranslater20OnRequestGuildCreateEP12PacketHeader	0x8097b46	0x1e5	0x80d45aa	0x1d9
DIFF	_ZN17CPacketTranslater20onCollectItemsUpdateEP12PacketHeader	0x80a034e	0x1e4	0x80d71d8	0x1e6
DIFF	_ZN17CPacketTranslater20onQueryTowerFullRankEP12PacketHeader	0x80970dc	0x465	0x80d8c20	0x3e0
DIFF	_ZN17CPacketTranslater21OnGuildMasterDelegateEP12PacketHeader	0x8097810	0x336	0x80d03b2	0x32a
DIFF	_ZN17CPacketTranslater21OnLoadPeriodicMessageEP12PacketHeader	0x809ed40	0x180	0x80d3b66	0x173
DIFF	_ZN17CPacketTranslater21OnRegisterToBlackListEP12PacketHeader	0x8094e96	0x286	0x80d26ca	0x288
DIFF	_ZN17CPacketTranslater22OnPcRoomPlayTimeRewardEP12PacketHeader	0x80a06c0	0x4af	0x80d80d0	0x450
DIFF	_ZN17CPacketTranslater22OnRequestIPCounterListEP12PacketHeader	0x809b958	0x599	0x80d86a8	0x577
DIFF	_ZN17CPacketTranslater23OnDBMWVillageAttackRankEP12PacketHeader	0x809ce38	0x1d6	0x80d5dc8	0x1d1
DIFF	_ZN17CPacketTranslater24OnSavePowerWarBonusPointEP12PacketHeader	0x809d8e0	0x280	0x80d33ce	0x27e
DIFF	_ZN17CPacketTranslater24OnSendMailCoinGuildEventEP12PacketHeader	0x809602c	0x321	0x80d0d46	0x31b
DIFF	_ZN17CPacketTranslater24onEndGameEventFromServerEP12PacketHeader	0x80a0db8	0x23b	0x80d54f0	0x235
DIFF	_ZN17CPacketTranslater25OnRequestApproveJoinGuildEP12PacketHeader	0x8096b24	0x28a	0x80d4b3c	0x281
DIFF	_ZN17CPacketTranslater25OnRequestBlackListOnLoginEP12PacketHeader	0x80953b4	0x218	0x80d2952	0x209
DIFF	_ZN17CPacketTranslater26onStartGameEventFromServerEP12PacketHeader	0x80a0b70	0x247	0x80d52ac	0x243
DIFF	_ZN17CPacketTranslater27OnQueryGuildAllMembersProxyEP12PacketHeader	0x8095a80	0x3d4	0x80da31e	0x3d5
DIFF	_ZN17CPacketTranslater29OnDBLoadRequestGuildBoardOpenEP12PacketHeader	0x809e0d8	0x5c7	0x80d7bfc	0x4d3
DIFF	_ZN17CPacketTranslater30OnDBLoadRequestGuildBoardWriteEP12PacketHeader	0x809e6a0	0x252	0x80d1062	0x253
DIFF	_ZN17CPacketTranslater31OnUpdateTowerOfDespairStatisticEP12PacketHeader	0x809f9de	0x18f	0x80d5c36	0x192
DIFF	_ZN17CTcpNetworkThread8dispatchEPv	0x8063044	0x457	0x80e385c	0x457
DIFF	_ZN18CFrameCountHandler17GetFrameCountInfoEv	0x805584a	0x37c	0x80e5834	0x379
DIFF	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	0x805570e	0x13c	0x80e56f6	0x13e
DIFF	_ZN5CPeer7parsingEi	0x8059fcc	0x489	0x80ecc26	0x46e
DIFF	_ZN6CMySql10exec_queryEv	0x808d49e	0x271	0x80c8bf0	0x271
DIFF	_ZN6CMySql11blob_to_strEiPvi	0x808d92a	0xa3	0x80c8988	0xa2
DIFF	_ZN6CMySql4execEj	0x808d744	0x177	0x80c8e62	0x179
DIFF	_ZN6CMySql4openEPKcS1_S1_S1_	0x808d152	0x168	0x80c9630	0x166
DIFF	_ZN6CMySql4openEPKcjS1_S1_S1_	0x808d2ba	0x166	0x80c9796	0x164
NEAR	_ZN6CMySql7get_intEiRj	0x808e078	0x28	0x80c8acc	0x28
DIFF	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	0x807dff2	0x36c	0x8061362	0x36a	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value.md
DIFF	_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader	0x809634e	0x368	0x8064c30	0x358	_ZN17CPacketTranslater35OnChangeUnconnectedGuildMemberGradeEP12PacketHeader.md
DIFF	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report	0x80808d2	0x134	0x8052830	0x136	_ZN10CDBManager23OnSaveLoadingTimeReportEP31Packet_DBMW_Loading_Time_Report.md
DIFF	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	0x807c88c	0x8d3	0x8055fe0	0x922	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party.md
DIFF	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	0x807d82a	0x7c7	0x8056fb6	0x774	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac.md
DIFF	_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job	0x807d160	0x6c9	0x8056902	0x6b4	_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job.md
DIFF	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	0x808171a	0x701	0x805b22c	0x695	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy.md
DIFF	_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update	0x8081e1c	0x164	0x805b8c2	0x15d	_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update.md
DIFF	_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic	0x807a74a	0x200	0x80513b2	0x1d8	_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic.md
DIFF	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	0x807edc2	0x279	0x8050f8c	0x1f1	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item.md
